preprocess,model,shots,accuracy,accuracy_percent,latency_ms,metric_protocol,experiment_title
FFT,CNN,5,0.8974630021141649,89.75,1.4874,deployment_baseline,CNN_CWRU_FFT_5w5s5q_source023_target1_labels0123456789
FFT,CNN,10,0.8773784355179705,87.74,1.0958,deployment_baseline,CNN_CWRU_FFT_5w10s10q_source023_target1_labels0123456789
FFT,CNN,15,0.879492600422833,87.95,1.3935,deployment_baseline,CNN_CWRU_FFT_5w15s15q_source023_target1_labels0123456789
FFT,MAML,5,0.9936575052854123,99.37,1.4332,deployment_baseline,MAML_CWRU_FFT_5w5s_source023_target1_labels0123456789
FFT,MAML,10,0.9936575052854123,99.37,1.3931,deployment_baseline,MAML_CWRU_FFT_5w10s_source023_target1_labels0123456789
FFT,MAML,15,0.9915433403805497,99.15,1.4848,deployment_baseline,MAML_CWRU_FFT_5w15s_source023_target1_labels0123456789
FFT,ProtoNet,5,1.0,100.0,1.3136,deployment_baseline,ProtoNet_CWRU_FFT_5w5s5q_source023_target1_labels0123456789
FFT,ProtoNet,10,0.9936575052854123,99.37,1.3473,deployment_baseline,ProtoNet_CWRU_FFT_5w10s10q_source023_target1_labels0123456789
FFT,ProtoNet,15,1.0,100.0,1.1786,deployment_baseline,ProtoNet_CWRU_FFT_5w15s15q_source023_target1_labels0123456789
STFT,CNN,5,0.9608879492600423,96.09,2.6819,deployment_baseline,CNN_CWRU_STFT_5w5s5q_source023_target1_labels0123456789
STFT,CNN,10,0.9534883720930233,95.35,2.7413,deployment_baseline,CNN_CWRU_STFT_5w10s10q_source023_target1_labels0123456789
STFT,CNN,15,0.9841437632135307,98.41,2.2351,deployment_baseline,CNN_CWRU_STFT_5w15s15q_source023_target1_labels0123456789
STFT,MAML,5,0.9915433403805497,99.15,2.8632,deployment_baseline,MAML_CWRU_STFT_5w5s_source023_target1_labels0123456789
STFT,MAML,10,0.9957716701902748,99.58,2.7204,deployment_baseline,MAML_CWRU_STFT_5w10s_source023_target1_labels0123456789
STFT,MAML,15,0.9978858350951374,99.79,2.9149,deployment_baseline,MAML_CWRU_STFT_5w15s_source023_target1_labels0123456789
STFT,ProtoNet,5,0.9978858350951374,99.79,2.8486,deployment_baseline,ProtoNet_CWRU_STFT_5w5s5q_source023_target1_labels0123456789
STFT,ProtoNet,10,0.9968287526427061,99.68,2.8373,deployment_baseline,ProtoNet_CWRU_STFT_5w10s10q_source023_target1_labels0123456789
STFT,ProtoNet,15,1.0,100.0,2.7441,deployment_baseline,ProtoNet_CWRU_STFT_5w15s15q_source023_target1_labels0123456789
WT,CNN,5,0.9154334038054969,91.54,2.7393,deployment_baseline,CNN_CWRU_WT_5w5s5q_source023_target1_labels0123456789
WT,CNN,10,0.9799154334038055,97.99,2.628,deployment_baseline,CNN_CWRU_WT_5w10s10q_source023_target1_labels0123456789
WT,CNN,15,0.96723044397463,96.72,2.5978,deployment_baseline,CNN_CWRU_WT_5w15s15q_source023_target1_labels0123456789
WT,MAML,5,0.992600422832981,99.26,2.6828,deployment_baseline,MAML_CWRU_WT_5w5s_source023_target1_labels0123456789
WT,MAML,10,0.9957716701902748,99.58,2.7169,deployment_baseline,MAML_CWRU_WT_5w10s_source023_target1_labels0123456789
WT,MAML,15,0.9862579281183932,98.63,2.9436,deployment_baseline,MAML_CWRU_WT_5w15s_source023_target1_labels0123456789
WT,ProtoNet,5,0.9883720930232558,98.84,2.7634,deployment_baseline,ProtoNet_CWRU_WT_5w5s5q_source023_target1_labels0123456789
WT,ProtoNet,10,0.9936575052854123,99.37,2.7309,deployment_baseline,ProtoNet_CWRU_WT_5w10s10q_source023_target1_labels0123456789
WT,ProtoNet,15,0.9904862579281184,99.05,2.562,deployment_baseline,ProtoNet_CWRU_WT_5w15s15q_source023_target1_labels0123456789
